id,ori,agency,year,pop,murd,rape,robb,aggr,burg,larc,moto,viol,prop,totl
1,TX22101,abilene TX,1990,106654,7,84,187,628,1647,2912,266,914,4861,5775
1,TX22101,abilene TX,1991,108929,15,60,216,575,1808,3534,239,870,5617,6487
1,TX22101,abilene TX,1992,110856,4,82,136,630,1439,2946,166,859,4581,5440
1,TX22101,abilene TX,1993,110222,8,71,134,673,1089,3323,172,890,4617,5507
1,TX22101,abilene TX,1994,112341,6,85,119,506,1250,3918,242,721,5440,6161
1,TX22101,abilene TX,1995,112105,5,75,131,480,1044,4095,214,696,5376,6072
1,TX22101,abilene TX,1996,114523,7,62,126,399,1120,4008,245,598,5397,5995
1,TX22101,abilene TX,1997,116384,2,61,124,449,1320,4147,294,642,5790,6432
1,TX22101,abilene TX,1998,110306,5,48,129,362,1246,3561,218,548,5049,5597
1,TX22101,abilene TX,1999,109816,12,36,123,324,1023,3207,255,495,4502,4997
1,TX22101,abilene TX,2000,115930,1,39,105,255,960,3203,230,404,4409,4813
1,TX22101,abilene TX,2001,118561,2,63,88,227,1084,3504,215,383,4840,5223
1,TX22101,abilene TX,2002,121089,4,58,111,266,1289,3432,229,444,4987,5431
1,TX22101,abilene TX,2003,117016,6,68,129,311,1814,3991,302,517,6134,6651
1,TX22101,abilene TX,2004,116819,6,53,178,256,1694,3915,272,498,5896,6394
1,TX22101,abilene TX,2005,116695,5,72,146,347,1521,3685,298,576,5528,6104
1,TX22101,abilene TX,2006,118009,5,62,107,375,1282,3460,303,554,5078,5632
1,TX22101,abilene TX,2007,114644,9,87,167,396,1324,3295,292,661,4942,5603
1,TX22101,abilene TX,2008,116267,7,84,180,373,1206,3061,233,648,4541,5189
1,TX22101,abilene TX,2009,116557,7,109,137,400,1301,3267,262,658,4860,5518
1,TX22101,abilene TX,2010,117063,4,66,112,394,1340,3375,182,578,4923,5501
1,TX22101,abilene TX,2011,119526,5,33,120,270,1119,3093,172,428,4415,4843
1,TX22101,abilene TX,2012,119886,3,37,127,304,1037,3185,171,472,4411,4883
1,TX22101,abilene TX,2013,119401,1,34,125,314,1055,3460,254,477,4785,5262
1,TX22101,abilene TX,2014,120686,7,93,128,343,1095,3887,362,571,5372,5943
1,TX22101,abilene TX,2015,121764,7,84,128,394,1168,3798,388,613,5382,5995
1,TX22101,abilene TX,2016,122523,8,70,133,335,905,3113,251,546,4290,4836
1,TX22101,abilene TX,2017,122981,4,100,138,394,1077,2605,260,636,3962,4598
1,TX22101,abilene TX,2018,122480,8,129,104,383,734,2571,232,626,3540,4166
1,TX22101,abilene TX,2019,123665,6,87,68,297,576,2330,206,458,3119,3577
1,TX22101,abilene TX,2020,124061,3,117,63,331,435,2013,201,514,2659,3173
2,NY00101,albany NY,1990,101082,9,73,386,575,1884,3264,435,1052,5643,6695
2,NY00101,albany NY,1991,101461,12,64,487,632,1988,3878,502,1202,6429,7631
2,NY00101,albany NY,1992,101803,8,72,467,598,2246,3858,537,1150,6707,7857
2,NY00101,albany NY,1993,100192,6,54,481,692,2063,4030,471,1238,6609,7847
2,NY00101,albany NY,1994,100037,13,75,542,746,2227,4502,539,1380,7327,8707
2,NY00101,albany NY,1995,104637,7,53,548,611,2038,4460,604,1227,7143,8370
2,NY00101,albany NY,1996,104919,11,42,491,584,2087,4355,556,1132,7048,8180
2,NY00101,albany NY,1997,104642,7,57,429,533,1762,4132,425,1035,6381,7416
2,NY00101,albany NY,1998,103166,2,70,387,540,1805,4142,442,1003,6444,7447
2,NY00101,albany NY,1999,94416,12,45,376,463,1826,4324,428,897,6627,7524
2,NY00101,albany NY,2000,95658,15,65,396,637,1513,4012,453,1114,6028,7142
2,NY00101,albany NY,2001,95834,6,53,432,818,1563,3860,546,1313,6001,7314
2,NY00101,albany NY,2002,96571,8,62,481,850,1397,3401,573,1403,5422,6825
2,NY00101,albany NY,2003,93938,8,33,383,736,1302,3274,414,1160,5034,6194
2,NY00101,albany NY,2004,94100,10,50,394,674,1294,3825,467,1131,5630,6761
2,NY00101,albany NY,2005,94361,8,63,439,760,1328,3186,369,1275,4929,6204
2,NY00101,albany NY,2006,93773,5,49,388,774,1058,3521,241,1217,4840,6057
2,NY00101,albany NY,2007,93916,3,42,376,704,965,2998,286,1128,4264,5392
2,NY00101,albany NY,2008,94152,9,46,361,615,1027,3153,225,1033,4430,5463
2,NY00101,albany NY,2009,93445,9,46,327,622,876,3149,239,1007,4273,5280
2,NY00101,albany NY,2010,97856,2,40,316,621,926,3488,229,981,4659,5640
2,NY00101,albany NY,2011,98296,4,33,320,582,895,3514,202,939,4623,5562
2,NY00101,albany NY,2012,98187,4,42,249,506,887,3299,154,802,4352,5154
