id,exp,stratum,site,pre.unemp,pre.age,pre.male,pre.race,pre.marr,pre.educ,pre.empl,pre.activ,pre.illeg,pre.months,pre.hours,pre.earned,trt.months,trt.hours,trt.earned,out.months,out.hours,out.earned
239,contr,drop,40,8.5,16-19,1,black,nev married,no cred,empl,unempl,0,4,57.77766418,142.8193665,2,259.99997,715,0,0,0
608,contr,afdc,12,8.166666,40-49,0,black,sep/div/wid,no cred,not empl,home,0,0,0,0,0,0,0,,,
750,exper,crim,10,7.3999996,20-29,1,hispan,nev married,no cred,not empl,unempl,0,0,0,0,13,2079.9995,6092.666,4,606.66663,2578.3328
776,exper,drug,8,11.533333,20-29,1,black,nev married,no cred,not empl,home,0,0,0,0,4,606.66663,1592.5,,,
789,contr,drop,8,13.166666,20-29,1,black,nev married,no cred,empl,unempl,0,0,0,0,0,0,0,,,
1021,contr,crim,42,11.333333,16-19,1,black,sep/div/wid,no cred,not empl,other,0,0,0,0,0,0,0,0,0,0
1034,exper,crim,18,10.933333,20-29,1,black,nev married,no cred,not empl,other,0,0,0,0,9,1330.3333,3878.3333,,,
1050,contr,afdc,14,11.099999,30-39,0,black,nev married,dipl,not empl,home,0,0,0,0,7,606.66663,1403.9999,0,0,0
1063,exper,drop,24,10.033333,16-19,1,hispan,nev married,no cred,empl,home,0,2,25.99996948,32.49996948,13,1809.1663,5156.667,,,
1173,contr,crim,16,8.6333332,20-29,1,black,nev married,dipl,empl,unempl,0,0,0,0,0,0,0,0,0,0
1254,contr,drug,40,9,30-39,1,black,sep/div/wid,dipl,not empl,unempl,0,0,0,0,0,0,0,0,0,0
1267,exper,crim,8,12.066667,20-29,1,hispan,nev married,no cred,empl,,24.55548096,1,7.222219467,9.027774811,9,1499.333,3419,,,
1283,contr,drop,16,13.7,16-19,1,black,nev married,no cred,empl,other,0,5,64.99983215,142.9997864,0,0,0,4,606.66663,1341.1666
1296,exper,crim,40,8.6333332,20-29,1,black,sep/div/wid,no cred,not empl,unempl,193.1942902,0,0,0,14,2318.3333,8092.4976,0,0,0
1364,exper,drop,24,9.6999998,16-19,1,black,nev married,no cred,empl,other,216.6664581,0,0,0,2,346.66663,953.33313,,,
1539,exper,crim,27,11.266666,20-29,1,black,nev married,no cred,not empl,unempl,0,0,0,0,11,1733.333,6408.9971,9,1386.6664,6240
1568,contr,afdc,30,9.5333328,30-39,0,black,nev married,no cred,empl,,0,8,115.5553284,,7,1126.6665,4281.332,,,
1762,contr,drop,8,13.466666,20-29,1,white,sep/div/wid,no cred,empl,home,0,12,118.4441071,326.4443359,1,86.666656,244.83333,9,2925,11277.498
1775,exper,drug,48,9,20-29,1,black,nev married,no cred,not empl,,0,0,0,0,7,1039.9999,2556.6667,,,
